pitch,vel,dur,db(lab),db(audi),duration(lab),duration(audi),db(lab) - db(audi),dur(lab) - dur(audi)
67,1,0.3,60.454693,49.45214,0.43,0.11,11.002553,0.32
68,1,0.3,59.702827,44.242786,0.41,0.11,15.460041,0.3
69,1,0.3,56.67247,52.020958,0.28,0.11,4.651512,0.17
70,1,0.3,55.110035,45.83106,0.11,0.11,9.278975,0
71,1,0.3,57.743027,55.218212,0.4,0.32,2.524815,0.08
72,1,0.3,60.93474,50.58806,0.44,0.11,10.34668,0.33
73,1,0.3,61.929432,55.14039,0.38,0.11,6.789042,0.27
74,1,0.3,65.747505,51.45142,0.45,0.2,14.296085,0.25
75,1,0.3,54.870583,56.511677,0.4,0.26,-1.641094,0.14
76,1,0.3,50.637558,52.93666,0.12,0.11,-2.299102,0.01
77,1,0.3,53.735447,52.55293,0.23,0.14,1.182517,0.09
78,1,0.3,49.724125,51.347507,0.12,0.21,-1.623382,-0.09
79,1,0.3,52.052822,51.220825,0.26,0.14,0.831997,0.12
80,1,0.3,51.49863,48.82193,0.2,0.11,2.6767,0.09
81,1,0.3,54.287365,48.20105,0.28,0.11,6.086315,0.17
82,1,0.3,52.191914,43.568516,0.11,0.11,8.623398,0
83,1,0.3,52.414886,49.53875,0.11,0.11,2.876136,0
84,1,0.3,50.69349,49.561184,0.11,0.11,1.132306,0
85,1,0.3,48.595192,48.93119,0.11,0.11,-0.335998,0
86,1,0.3,49.771942,44.265804,0.11,0.11,5.506138,0
87,1,0.3,45.180077,45.574753,0.11,0.11,-0.394676,0
88,1,0.3,44.70902,44.98053,0.11,0.11,-0.27151,0
89,1,0.3,45.714672,46.260853,0.11,0.11,-0.546181,0
90,1,0.3,49.119328,47.342392,0.11,0.11,1.776936,0
91,1,0.3,46.606262,46.181396,0.11,0.11,0.424866,0
92,1,0.3,46.96589,47.405384,0.11,0.11,-0.439494,0
93,1,0.3,49.82354,45.476826,0.11,0.11,4.346714,0
94,1,0.3,44.67405,48.307655,0.11,0.11,-3.633605,0
95,1,0.3,47.22945,48.720074,0.11,0.11,-1.490624,0
96,1,0.3,49.72462,51.553352,0.11,0.11,-1.828732,0
97,1,0.3,48.759808,54.143215,0.11,0.11,-5.383407,0
98,1,0.3,48.135956,54.80448,0.11,0.11,-6.668524,0
99,1,0.3,48.68897,53.890675,0.11,0.11,-5.201705,0
100,1,0.3,50.12722,54.005516,0.11,0.11,-3.878296,0
101,1,0.3,46.495506,50.156155,0.11,0.11,-3.660649,0
102,1,0.3,49.527206,50.632122,0.11,0.11,-1.104916,0
103,1,0.3,44.7837,47.981323,0.11,0.11,-3.197623,0
104,1,0.3,50.03395,50.22911,0.11,0.11,-0.19516,0
105,1,0.3,51.350266,50.05014,0.11,0.11,1.300126,0
106,1,0.3,48.40363,51.134033,0.11,0.11,-2.730403,0
107,1,0.3,46.104317,50.742954,0.11,0.11,-4.638637,0
108,1,0.3,46.09455,50.634083,0.11,0.11,-4.539533,0
21,1,0.7,59.62681,57.345448,0.72,0.13,2.281362,0.59
22,1,0.7,59.49891,56.98685,0.8,0.12,2.51206,0.68
23,1,0.7,57.713203,54.477108,0.76,0.11,3.236095,0.65
24,1,0.7,59.996468,57.715244,0.46,0.2,2.281224,0.26
25,1,0.7,59.296997,55.0866,0.81,0.11,4.210397,0.7
26,1,0.7,55.628387,54.02117,0.11,0.13,1.607217,-0.02
27,1,0.7,58.079506,58.10966,0.61,0.12,-0.030154,0.49
28,1,0.7,60.845543,58.89321,0.75,0.12,1.952333,0.63
29,1,0.7,59.694756,44.702305,0.81,0.11,14.992451,0.7
30,1,0.7,58.36518,56.384247,0.3,0.12,1.980933,0.18
31,1,0.7,61.13683,60.93627,0.81,0.7,0.20056,0.11
32,1,0.7,59.203163,58.245842,0.77,0.11,0.957321,0.66
33,1,0.7,60.31656,55.03142,0.77,0.11,5.28514,0.66
34,1,0.7,62.19102,56.515877,0.78,0.12,5.675143,0.66
35,1,0.7,57.29294,58.71523,0.63,0.54,-1.42229,0.09
36,1,0.7,58.849697,41.404152,0.44,0.11,17.445545,0.33
37,1,0.7,57.37365,58.668663,0.12,0.73,-1.295013,-0.61
38,1,0.7,54.11309,53.488472,0.13,0.14,0.624618,-0.01
39,1,0.7,56.30335,54.86044,0.53,0.21,1.44291,0.32
