,db(lab),db(audi),duration(lab),duration(audi),,
128,65.03355408,63.89272308,0.79,0.32,0.47,1.140830994
129,55.93019485,60.25748825,0.13,0.2,-0.07,-4.327293396
130,56.67288589,58.17073059,0.34,0.31,0.03,-1.497844696
131,54.38586807,58.86100006,0.14,0.18,-0.04,-4.475131989
132,52.62304688,62.43782806,0.12,0.19,-0.07,-9.814781189
133,57.22075653,58.75375748,0.23,0.2,0.03,-1.533000946
134,56.15984726,58.41257477,0.22,0.18,0.04,-2.252727509
135,55.03755188,57.49479675,0.35,0.15,0.2,-2.457244873
136,56.34962463,63.80827332,0.15,0.2,-0.05,-7.458648682
137,58.41619873,63.09502411,0.25,0.25,0,-4.678825378
138,58.66788864,63.59925842,0.38,0.44,-0.06,-4.931369781
139,58.21641541,63.26950455,0.57,0.54,0.03,-5.053089142
140,59.51888275,66.34960175,0.18,0.25,-0.07,-6.830718994
141,60.82768631,66.91897583,0.28,0.38,-0.1,-6.09128952
142,60.98267365,67.10194397,0.44,0.48,-0.04,-6.119270325
143,62.35636139,66.81204224,0.86,0.83,0.03,-4.455680847
144,64.82763672,68.2689743,0.38,0.31,0.07,-3.441337585
145,64.01620483,69.45114136,0.3,0.38,-0.08,-5.434936523
146,64.44966125,69.81018066,0.53,0.51,0.02,-5.360519409
147,64.48951721,69.89672089,0.91,0.89,0.02,-5.407203674
148,66.79510498,71.38343048,0.42,0.36,0.06,-4.5883255
149,67.11772156,72.55194092,0.47,0.42,0.05,-5.43421936
150,67.33408356,72.24649048,0.68,0.54,0.14,-4.912406921
151,67.44211578,72.31323242,1,0.93,0.07,-4.871116638
152,69.64556122,72.96389008,0.51,0.39,0.12,-3.318328857
153,69.17460632,75.10159302,0.55,0.52,0.03,-5.926986694
154,69.52186584,74.88856506,0.74,0.61,0.13,-5.366699219
155,69.25799561,75.03269958,1,0.93,0.07,-5.774703979
156,71.91123962,75.66756439,0.54,0.42,0.12,-3.756324768
157,71.11735535,76.80600739,0.73,0.56,0.17,-5.688652039
158,71.74177551,77.12940979,0.84,0.69,0.15,-5.387634277
159,72.98825073,76.84555817,1,1,0,-3.857307434
160,71.43753052,78.81700897,0.71,0.55,0.16,-7.379478455
161,72.18299103,79.03566742,0.71,0.58,0.13,-6.852676392
162,72.84553528,78.98032379,0.87,0.75,0.12,-6.134788513
163,72.65463257,78.97100067,1,1,0,-6.316368103
164,73.58315277,80.54239655,0.86,0.61,0.25,-6.959243774
165,74.14298248,80.67893982,0.78,0.7,0.08,-6.535957336
166,74.36656952,80.71490479,0.93,0.79,0.14,-6.348335266
167,75.34351349,80.59210968,1,1,0,-5.248596191
168,75.76123047,81.10600281,1,0.7,0.3,-5.344772339
169,76.28787231,81.51743317,1,0.76,0.24,-5.229560852
170,76.11328888,80.97640228,1,0.84,0.16,-4.863113403
171,76.23283386,81.2522583,1,1,0,-5.019424438
172,77.09761047,82.71055603,1,0.75,0.25,-5.612945557
173,77.47154999,83.10108185,1,0.79,0.21,-5.62953186
174,77.5088501,83.03347015,1,0.91,0.09,-5.524620056
175,77.93122864,83.02047729,1,1,0,-5.089248657
176,78.00914764,85.2303009,1,0.78,0.22,-7.221153259
177,77.62515259,84.97707367,1,0.85,0.15,-7.351921082
178,77.60339355,85.1162262,1,0.94,0.06,-7.512832642
179,77.31664276,85.12010956,1,1,0,-7.803466797
180,79.16287994,85.24707794,1,0.76,0.24,-6.084197998
181,77.74568939,85.12478638,1,0.85,0.15,-7.379096985
182,77.72639465,85.10388947,1,0.94,0.06,-7.377494812
183,77.8044281,85.1131897,1,1,0,-7.308761597
184,77.63460541,84.99538422,1,0.76,0.24,-7.360778809
185,77.64070129,85.02516174,1,0.83,0.17,-7.384460449
